p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
5,46,105,105.46.a.a,44,1,-11,1,12,2:[1:1];11:[1:1];13:[1:2];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:4];41:[1:3];43:[1:4];47:[1:0];53:[1:4];59:[1:3];61:[1:2],2,1
5,46,105,105.46.a.a,44,1,-11,1,12,2:[1:1];11:[1:1];13:[1:2];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:4];41:[1:3];43:[1:4];47:[1:0];53:[1:4];59:[1:3];61:[1:2],2,1
7,46,105,105.46.a.a,44,1,-12,1,13,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.a,44,1,-13,0,13,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.a,44,1,-6,0,6,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.a,44,1,-7,1,8,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.a,44,1,-1,0,1,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.a,44,1,-13/2,3/2,8,2:[1:2];11:[1:2];13:[1:2];17:[1:6];19:[1:6];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:4];43:[1:3];47:[1:5];53:[1:5];59:[1:2];61:[1:4];67:[1:1];71:[1:1];73:[1:2];79:[1:0];83:[1:2];89:[1:5];97:[1:5],2,1
7,46,105,105.46.a.a,44,1,-1,0,1,2:[1:2];11:[1:2];13:[1:2];17:[1:6];19:[1:6];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:4];43:[1:3];47:[1:5];53:[1:5];59:[1:2];61:[1:4];67:[1:1];71:[1:1];73:[1:2];79:[1:0];83:[1:2];89:[1:5];97:[1:5],1,1
7,46,105,105.46.a.a,44,1,-25/2,3/2,14,2:[1:2];11:[1:2];13:[1:2];17:[1:6];19:[1:6];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:4];43:[1:3];47:[1:5];53:[1:5];59:[1:2];61:[1:4];67:[1:1];71:[1:1];73:[1:2];79:[1:0];83:[1:2];89:[1:5];97:[1:5],2,1
7,46,105,105.46.a.a,44,1,-15,1,16,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
7,46,105,105.46.a.a,44,1,-10,2,12,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
7,46,105,105.46.a.a,44,1,-9,2,11,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
7,46,105,105.46.a.a,44,1,-3,2,5,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
7,46,105,105.46.a.a,44,1,-3,2,5,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
7,46,105,105.46.a.a,44,1,-16,1,17,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
3,46,105,105.46.a.h,1,1,-8,-1,7,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,46,105,105.46.a.h,1,1,1,2,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,46,105,105.46.a.h,1,1,-7,-2,5,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,46,105,105.46.a.h,1,1,-2,-1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,46,105,105.46.a.h,1,1,-11,-2,9,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,2
3,46,105,105.46.a.h,1,1,-11,-2,9,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,2
3,46,105,105.46.a.h,1,1,-7,0,7,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,46,105,105.46.a.h,1,1,-2,0,2,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,46,105,105.46.a.h,1,1,-8,-2,6,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,46,105,105.46.a.h,1,1,2,2,0,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,46,105,105.46.a.h,1,1,-6,2,8,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
3,46,105,105.46.a.h,1,1,-11,0,11,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
3,46,105,105.46.a.h,1,1,-11,-2,9,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
3,46,105,105.46.a.h,1,1,-11,-2,9,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
3,46,105,105.46.a.h,1,1,-7,-2,5,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
3,46,105,105.46.a.h,1,1,-2,-1,1,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
5,46,105,105.46.a.h,1,1,-13,-1,12,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,46,105,105.46.a.h,1,1,-9,-1,8,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,46,105,105.46.a.h,1,1,-5,-1,4,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,46,105,105.46.a.h,1,1,0,0,0,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,46,105,105.46.a.h,1,1,0,2,2,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,46,105,105.46.a.h,1,1,-9,0,9,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,46,105,105.46.a.h,1,1,-13,0,13,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,46,105,105.46.a.h,1,1,-5,2,7,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,46,105,105.46.a.h,1,1,-14,-1,13,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,4
5,46,105,105.46.a.h,1,1,-8,-1,7,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,4
5,46,105,105.46.a.h,1,1,-11,1,12,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
5,46,105,105.46.a.h,1,1,-11,1,12,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
5,46,105,105.46.a.h,1,1,-4,-1,3,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
5,46,105,105.46.a.h,1,1,-1,0,1,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
7,46,105,105.46.a.h,1,1,-1,0,1,2:[1:1];11:[1:1];13:[1:0];17:[1:5];19:[1:2];23:[1:1];29:[1:5];31:[1:5];37:[1:1];41:[1:0];43:[1:5];47:[1:2];53:[1:1];59:[1:5];61:[1:2];67:[1:1];71:[1:5];73:[1:5];79:[1:1];83:[1:0];89:[1:2];97:[1:0],1,1
7,46,105,105.46.a.h,1,1,-13,0,13,2:[1:1];11:[1:1];13:[1:0];17:[1:5];19:[1:2];23:[1:1];29:[1:5];31:[1:5];37:[1:1];41:[1:0];43:[1:5];47:[1:2];53:[1:1];59:[1:5];61:[1:2];67:[1:1];71:[1:5];73:[1:5];79:[1:1];83:[1:0];89:[1:2];97:[1:0],1,1
7,46,105,105.46.a.h,1,1,-6,0,6,2:[1:1];11:[1:1];13:[1:0];17:[1:5];19:[1:2];23:[1:1];29:[1:5];31:[1:5];37:[1:1];41:[1:0];43:[1:5];47:[1:2];53:[1:1];59:[1:5];61:[1:2];67:[1:1];71:[1:5];73:[1:5];79:[1:1];83:[1:0];89:[1:2];97:[1:0],1,1
7,46,105,105.46.a.h,1,1,-11,2,13,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-5,2,7,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-8,2,10,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-14,1,15,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-2,2,4,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-17,1,18,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,46,105,105.46.a.h,1,1,-1,-1,0,2:[1:5];11:[1:0];13:[1:6];17:[1:6];19:[1:2];23:[1:5];29:[1:2];31:[1:5];37:[1:4];41:[1:6];43:[1:3];47:[1:5];53:[1:2];59:[1:5];61:[1:4];67:[1:5];71:[1:5];73:[1:1];79:[1:5];83:[1:4];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.h,1,1,-13,0,13,2:[1:5];11:[1:0];13:[1:6];17:[1:6];19:[1:2];23:[1:5];29:[1:2];31:[1:5];37:[1:4];41:[1:6];43:[1:3];47:[1:5];53:[1:2];59:[1:5];61:[1:4];67:[1:5];71:[1:5];73:[1:1];79:[1:5];83:[1:4];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.h,1,1,-6,0,6,2:[1:5];11:[1:0];13:[1:6];17:[1:6];19:[1:2];23:[1:5];29:[1:2];31:[1:5];37:[1:4];41:[1:6];43:[1:3];47:[1:5];53:[1:2];59:[1:5];61:[1:4];67:[1:5];71:[1:5];73:[1:1];79:[1:5];83:[1:4];89:[1:5];97:[1:4],1,1
7,46,105,105.46.a.h,1,1,-11,1,12,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-2,0,2,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-8,1,9,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-17,0,17,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-5,0,5,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-14,0,14,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,46,105,105.46.a.h,1,1,-16,-1,15,2:[1:0:1];11:[1:5:3];13:[1:0:1];17:[1:6];19:[1:1:6];23:[1:6];29:[1:2];31:[1:6:4];37:[1:6:4];41:[1:5];43:[1:0:4];47:[1:2:3];53:[1:1:4];59:[1:0:1];61:[1:3];67:[1:2];71:[1:1:3];73:[1:6:4];79:[1:5:3];83:[1:5:5];89:[1:3];97:[1:1:3],1,2
7,46,105,105.46.a.h,1,1,-3,1,4,2:[1:0:1];11:[1:5:3];13:[1:0:1];17:[1:6];19:[1:1:6];23:[1:6];29:[1:2];31:[1:6:4];37:[1:6:4];41:[1:5];43:[1:0:4];47:[1:2:3];53:[1:1:4];59:[1:0:1];61:[1:3];67:[1:2];71:[1:1:3];73:[1:6:4];79:[1:5:3];83:[1:5:5];89:[1:3];97:[1:1:3],1,2
7,46,105,105.46.a.h,1,1,-9,1,10,2:[1:0:1];11:[1:5:3];13:[1:0:1];17:[1:6];19:[1:1:6];23:[1:6];29:[1:2];31:[1:6:4];37:[1:6:4];41:[1:5];43:[1:0:4];47:[1:2:3];53:[1:1:4];59:[1:0:1];61:[1:3];67:[1:2];71:[1:1:3];73:[1:6:4];79:[1:5:3];83:[1:5:5];89:[1:3];97:[1:1:3],1,2
3,48,105,105.48.a.e,37,1,-2,0,2,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-11,-2,9,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,4
3,48,105,105.48.a.e,37,1,-7,-2,5,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-5,1,6,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-11,-1,10,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-11,-1,10,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-6,1,7,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-13,-2,11,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-9,-2,7,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-1,0,1,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,48,105,105.48.a.e,37,1,-8,-1,7,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,48,105,105.48.a.e,17,-1,-11,1,12,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],1,1
5,48,105,105.48.a.e,17,-1,-11,1,12,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],1,1
5,48,105,105.48.a.e,17,-1,-8,-1,7,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-14,-1,13,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-3,-1,2,2:[1:0];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3];29:[1:3];31:[1:4];37:[1:1];41:[1:2];43:[1:0];47:[1:2];53:[1:4];59:[1:0];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-5,-1,4,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],1,2
5,48,105,105.48.a.e,17,-1,-12,-1,11,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],1,2
5,48,105,105.48.a.e,17,-1,-10,-1,9,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],1,2
5,48,105,105.48.a.e,17,-1,0,1/2,1/2,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-9,-1,8,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-13,-1,12,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-16,-1,15,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
5,48,105,105.48.a.e,17,-1,-6,-1,5,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,1
7,48,105,105.48.a.e,17,-1,-16,-1,15,2:[1:0];11:[1:0];13:[1:6];17:[1:5];19:[1:6];23:[1:4];29:[1:6];31:[1:3];37:[1:0];41:[1:5];43:[1:1];47:[1:3];53:[1:0];59:[1:2];61:[1:1];67:[1:0];71:[1:2];73:[1:1];79:[1:3];83:[1:2];89:[1:3];97:[1:4],1,2
7,48,105,105.48.a.e,17,-1,-3,0,3,2:[1:0];11:[1:0];13:[1:6];17:[1:5];19:[1:6];23:[1:4];29:[1:6];31:[1:3];37:[1:0];41:[1:5];43:[1:1];47:[1:3];53:[1:0];59:[1:2];61:[1:1];67:[1:0];71:[1:2];73:[1:1];79:[1:3];83:[1:2];89:[1:3];97:[1:4],1,1
7,48,105,105.48.a.e,17,-1,-4,0,4,2:[1:0];11:[1:0];13:[1:6];17:[1:5];19:[1:6];23:[1:4];29:[1:6];31:[1:3];37:[1:0];41:[1:5];43:[1:1];47:[1:3];53:[1:0];59:[1:2];61:[1:1];67:[1:0];71:[1:2];73:[1:1];79:[1:3];83:[1:2];89:[1:3];97:[1:4],1,1
